Champion,College,Year ,Seed,Conference,MOP,Record
1,Uconn,2023,4,Big East,Adama Sanogo,31-8
2,Kansas,2022,1,Big 12,Ochai Agbaji,34-6
3,Baylor,2021,1,Big 12,Jared Butler,28-2
4,Virginia,2019,1,Atlantic Coast ,Kyle Guy,35-3
5,Villanova,2018,1,Big East,Donte DiVincenzo,36-4
6,North Carolina,2017,1,Atlantic Coast,Joel Berry II,33-7
7,Villanova,2016,2,Big East ,Ryan Arcidiacono,35-5
8,Duke,2015,1,Atlantic Coast,Tyus Jones,35-4
9,Uconn,2014,7,Big East,Shabazz Napier,32-8
10,Louisville,2013,1,Atlantic Coast ,Luke Hancock,35-5
11,Kentucky,2012,1,Southeastern,Anthony Davis,38-2
12,Uconn,2011,3,Big East,Kemba Walker,32-9
13,Duke,2010,1,Atlantic Coast,Kyle Singler,35-5
14,North Carolina,2009,1,Atlantic Coast ,Wayne Ellington,34-4
15,Kansas,2008,1,Big 12,Mario Chalmers,37-3
16,Florida,2007,1,Southeastern,Corey Brewer,35-5
17,Florida ,2006,3,Southeastern,Joakim Noah,33-6
18,North Carolina,2005,1,Atlantic Coast,Sean May,33-4
19,Uconn ,2004,2,Big East,Emeka Okafor,33-6
20,Syracuse,2003,3,Atlantic Coast ,Carmelo Anthony,30-5